RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Andre Drummond,Phi,C,28.56,49,18.4,38.4,17.6,22.4,82,0.512,236,0.542,2,0,0.538,0.544,6.1,8.8,26.5,2,16,1.16,0.92,1.61,10.3,111.4,90.8
,Andre Drummond,Bro,C,28.56,6,21.7,45.2,22,18,24,0.458,43,0.558,1,0,0.545,0.541,9.8,10.2,25.2,2.5,17.1,1,0.83,2,11.6,109.4,96.6
,Chris Duarte,Ind,G,24.72,52,28.3,59.1,21.3,12.2,108,0.796,348,0.483,244,0.365,0.509,0.539,13.3,4.1,8,2.2,11.4,1.06,0.19,1.71,7,103.8,111.4
,David Duke Jr.,Bro,G,22.38,21,16.2,33.7,16,7.1,21,0.81,71,0.423,37,0.243,0.403,0.444,5,3.2,10.6,0.8,6.7,0.67,0.33,0.43,5.8,103.9,105.2
,Kevin Durant,Bro,F,33.42,36,36.5,76,31.1,11.3,255,0.894,549,0.568,180,0.372,0.566,0.626,29.3,7.4,10.9,5.8,27.7,0.78,0.94,2.97,11.8,120.1,109.9
,Jaime Echenique,Was,C,24.84,1,3.1,6.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Anthony Edwards,Min,G,20.57,56,34.6,72,26.9,12.4,228,0.768,514,0.512,476,0.347,0.516,0.548,21.4,4.7,7.2,3.7,16.9,1.5,0.71,2.77,8.3,105.6,109.5
,Kessler Edwards,Bro,F,21.56,31,24.1,50.2,13.5,14.5,12,0.833,95,0.453,100,0.35,0.49,0.502,6.5,4.2,9.4,0.7,3.9,0.74,0.55,1.1,4.4,96,107.6
,Rob Edwards,Okc,G,25.11,2,5.5,11.4,19.8,20,0,0,0,0,4,0.25,0.375,0.375,1.5,1.5,14,0,0,0,0,0.5,0,59.8,111.8
,CJ Elleby,Por,F-G,21.71,37,15.6,32.6,14.2,10,30,0.8,89,0.483,68,0.265,0.446,0.482,4.4,3,10.6,1.1,10.1,0.57,0.24,0.51,6.3,106.5,105.9
,Wayne Ellington,Lal,G,34.25,36,18.9,39.3,13.4,7.1,5,0.8,17,0.471,177,0.384,0.567,0.571,6.2,1.7,4.8,0.7,4.8,0.56,0.08,0.42,4.1,110,111.4
